label,mode,cyc,I,enable,op_and3_B,AN_and3_B,B_and3_B,Y_and3_B,op_slot_0_A,AN_slot_0_A,B_slot_0_A,Y_slot_0_A,op_slot_1_B,AN_slot_1_B,B_slot_1_B,Y_slot_1_B,op_slot_0_D,AN_slot_0_D,B_slot_0_D,Y_slot_0_D
t03_and3_B_k2,1,55,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,56,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,57,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,58,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,59,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,60,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,61,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,62,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,63,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,64,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,65,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,66,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,67,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,68,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,69,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,70,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,71,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,72,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,73,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,74,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,75,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,76,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,77,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,78,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,79,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,80,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,81,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,82,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,83,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,84,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,85,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,86,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,87,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,88,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,89,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,90,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,91,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,92,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,93,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,94,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,95,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,96,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,97,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,98,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,99,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,100,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,101,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,102,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,103,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,104,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,105,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,106,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,107,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,108,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,109,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k2,1,110,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,111,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,112,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,113,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,114,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,115,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,116,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,117,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,118,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,119,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,120,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,2,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,3,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,4,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,5,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,6,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,7,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,8,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k3,2,9,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k3,2,10,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,11,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,12,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,13,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,14,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,15,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,16,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,17,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,18,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,19,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k3,2,20,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k3,2,21,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k3,2,22,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
