mode,cyc,xnor_B,xnor_Y,Q,and4_X
I1_cyc10,77,1,0,0,0
I1_cyc10,78,1,0,0,0
I1_cyc10,79,1,0,0,0
I1_cyc10,80,1,0,0,0
I1_cyc10,81,1,0,0,0
I1_cyc10,82,1,0,0,0
I1_cyc10,83,1,0,0,0
I1_cyc10,84,1,0,0,0
I1_cyc10,85,1,0,0,0
I1_cyc10,86,1,0,0,0
I1_cyc10,87,1,0,0,0
I1_cyc10,88,1,0,0,0
I1_cyc10,89,1,0,0,0
I1_cyc10,90,1,0,0,0
I1_cyc10,91,1,0,0,0
I1_cyc10,92,1,0,0,0
I1_cyc10,93,1,0,0,0
I1_cyc10,94,1,0,0,0
I1_cyc10,95,1,0,0,0
I1_cyc10,96,1,0,0,0
I1_cyc10,97,1,0,0,0
I1_cyc10,98,1,0,0,0
I1_cyc10,99,1,0,0,0
I1_cyc10,100,1,0,0,0
I1_cyc10,101,1,0,0,0
I1_cyc10,102,1,0,0,0
I1_cyc10,103,1,0,0,0
I1_cyc10,104,1,0,0,0
I1_cyc10,105,1,0,0,0
I1_cyc10,106,1,0,0,0
I1_cyc10,107,1,0,0,0
I1_cyc10,108,1,0,0,0
I1_cyc10,109,1,0,0,0
I1_cyc10,110,1,0,0,0
I1_cyc10,111,1,0,0,0
I1_cyc10,112,1,0,0,0
I1_cyc10,113,1,0,0,0
I1_cyc10,114,1,0,0,0
I1_cyc10,115,1,0,0,0
I1_cyc10,116,1,0,0,0
I1_cyc10,117,1,0,0,0
I1_cyc10,118,1,0,0,0
I1_cyc10,119,1,0,0,0
I1_cyc10,120,1,0,0,0
I1_cyc1_12,0,1,0,0,0
I1_cyc1_12,1,1,0,0,0
I1_cyc1_12,2,1,0,0,0
I1_cyc1_12,3,1,0,0,0
I1_cyc1_12,4,1,0,0,0
I1_cyc1_12,5,1,0,0,0
I1_cyc1_12,6,1,0,0,0
I1_cyc1_12,7,1,0,0,0
I1_cyc1_12,8,1,0,0,0
I1_cyc1_12,9,1,0,0,0
I1_cyc1_12,10,1,0,0,0
I1_cyc1_12,11,1,0,0,0
I1_cyc1_12,12,1,0,0,0
I1_cyc1_12,13,1,0,0,0
I1_cyc1_12,14,1,0,0,0
I1_cyc1_12,15,1,0,0,0
I1_cyc1_12,16,1,0,0,0
I1_cyc1_12,17,1,0,0,0
I1_cyc1_12,18,1,0,0,0
I1_cyc1_12,19,1,0,0,0
I1_cyc1_12,20,1,0,0,0
I1_cyc1_12,21,1,0,0,0
I1_cyc1_12,22,1,0,0,0
I1_cyc1_12,23,1,0,0,0
