label,mode,cyc,I,enable,op_slot_0_B,AN_slot_0_B,B_slot_0_B,Y_slot_0_B,op_slot_0_C,AN_slot_0_C,B_slot_0_C,Y_slot_0_C,op_slot_1_C,AN_slot_1_C,B_slot_1_C,Y_slot_1_C,op_and3_C,AN_and3_C,B_and3_C,Y_and3_C,op_and3_A,AN_and3_A,B_and3_A,Y_and3_A,op_slot_1_D,AN_slot_1_D,B_slot_1_D,Y_slot_1_D
t02_slot_0_B_k1,42,77,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,78,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,79,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,80,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,82,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,83,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,84,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,86,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
t02_slot_0_B_k1,42,87,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
