mode,cyc,S,A0,A1,X,a31o_X,sticky_Q,inv_Y
I2win_d02_off0,98,1,1,0,0,0,0,1
I2win_d02_off0,99,0,1,1,1,0,0,1
I2win_d02_off0,100,0,1,1,1,0,0,1
I2win_d02_off0,101,0,0,1,0,0,0,1
I2win_d02_off0,102,1,1,0,0,0,0,1
I2win_d02_off0,103,1,1,0,0,0,0,1
I2win_d02_off0,104,1,1,0,0,0,0,1
I2win_d02_off0,105,1,1,0,0,0,0,1
I2win_d02_off0,106,1,1,0,0,0,0,1
I2win_d02_off0,107,1,1,0,0,0,0,1
I2win_d02_off0,108,1,1,0,0,0,0,1
I2win_d02_off0,109,1,1,0,0,0,0,1
I2win_d02_off0,110,0,1,1,1,0,0,1
I2win_d02_off0,111,0,1,1,1,0,0,1
I2win_d02_off0,112,0,0,1,0,0,0,1
I2win_d02_off0,113,1,1,0,0,0,0,1
I2win_d02_off0,114,1,1,0,0,0,0,1
I2win_d02_off0,115,1,1,0,0,0,0,1
I2win_d02_off0,116,1,1,0,0,0,0,1
I2win_d02_off0,117,1,1,0,0,0,0,1
I2win_d02_off0,118,1,1,0,0,0,0,1
I2win_d02_off0,119,1,1,0,0,0,0,1
I2win_d02_off0,120,1,1,0,0,0,0,1
I2win_d03_off0,0,0,1,1,1,0,0,1
I2win_d03_off0,1,0,1,1,1,0,0,1
I2win_d03_off0,2,0,1,1,1,0,0,1
I2win_d03_off0,3,0,0,1,0,0,0,1
I2win_d03_off0,4,1,1,0,0,0,0,1
I2win_d03_off0,5,1,1,0,0,0,0,1
I2win_d03_off0,6,1,1,0,0,0,0,1
I2win_d03_off0,7,1,1,0,0,0,0,1
I2win_d03_off0,8,1,1,0,0,0,0,1
I2win_d03_off0,9,1,1,0,0,0,0,1
I2win_d03_off0,10,1,1,0,0,0,0,1
I2win_d03_off0,11,0,1,1,1,0,0,1
I2win_d03_off0,12,0,1,1,1,0,0,1
I2win_d03_off0,13,0,1,1,1,0,0,1
I2win_d03_off0,14,0,0,1,0,0,0,1
I2win_d03_off0,15,1,1,0,0,0,0,1
I2win_d03_off0,16,1,1,0,0,0,0,1
I2win_d03_off0,17,1,1,0,0,0,0,1
I2win_d03_off0,18,1,1,0,0,0,0,1
I2win_d03_off0,19,1,1,0,0,0,0,1
