mode,cyc,S,A0,A1,X,a31o_X,sticky_Q
I1_@2,57,0,1,0,1,1,1
I1_@2,58,0,1,0,1,1,1
I1_@2,59,0,1,0,1,1,1
I1_@2,60,0,1,0,1,1,1
I1_@2,61,0,1,0,1,1,1
I1_@2,62,0,1,0,1,1,1
I1_@2,63,0,1,0,1,1,1
I1_@2,64,0,1,0,1,1,1
I1_@2,65,0,1,0,1,1,1
I1_@2,66,0,1,0,1,1,1
I1_@2,67,0,1,0,1,1,1
I1_@2,68,0,1,0,1,1,1
I1_@2,69,0,1,0,1,1,1
I1_@2,70,0,1,0,1,1,1
I1_@2,71,0,1,0,1,1,1
I1_@2,72,0,1,0,1,1,1
I1_@2,73,0,1,0,1,1,1
I1_@2,74,0,1,0,1,1,1
I1_@2,75,0,1,0,1,1,1
I1_@2,76,0,1,0,1,1,1
I1_@2,77,0,1,0,1,1,1
I1_@2,78,0,1,0,1,1,1
I1_@2,79,0,1,0,1,1,1
I1_@2,80,0,1,0,1,1,1
I1_@2,81,0,1,0,1,1,1
I1_@2,82,0,1,0,1,1,1
I1_@2,83,0,1,0,1,1,1
I1_@2,84,0,1,0,1,1,1
I1_@2,85,0,1,0,1,1,1
I1_@2,86,0,1,0,1,1,1
I1_@2,87,0,1,0,1,1,1
I1_@2,88,0,1,0,1,1,1
I1_@2,89,0,1,0,1,1,1
I1_@2,90,0,1,0,1,1,1
I1_@2,91,0,1,0,1,1,1
I1_@2,92,0,1,0,1,1,1
I1_@2,93,0,1,0,1,1,1
I1_@2,94,0,1,0,1,1,1
I1_@2,95,0,1,0,1,1,1
I1_@2,96,0,1,0,1,1,1
I1_@2,97,0,1,0,1,1,1
I1_@2,98,0,1,0,1,1,1
I1_@2,99,0,1,0,1,1,1
I1_@2,100,0,1,0,1,1,1
I1_@2,101,0,1,0,1,1,1
I1_@2,102,0,1,0,1,1,1
I1_@2,103,0,1,0,1,1,1
I1_@2,104,0,1,0,1,1,1
I1_@2,105,0,1,0,1,1,1
I1_@2,106,0,1,0,1,1,1
I1_@2,107,0,1,0,1,1,1
I1_@2,108,0,1,0,1,1,1
I1_@2,109,0,1,0,1,1,1
I1_@2,110,0,1,0,1,1,1
I1_@2,111,0,1,0,1,1,1
I1_@2,112,0,1,0,1,1,1
I1_@2,113,0,1,0,1,1,1
I1_@2,114,0,1,0,1,1,1
I1_@2,115,0,1,0,1,1,1
I1_@2,116,0,1,0,1,1,1
I1_@2,117,0,1,0,1,1,1
I1_@2,118,0,1,0,1,1,1
I1_@2,119,0,1,0,1,1,1
I1_@2,120,0,1,0,1,1,1
