instance,cell_type,x_um,y_um
VIA_L1M1_PR_MR_198,VIA_L1M1_PR_MR,187.91,23.63
VIA_L1M1_PR_MR_199,VIA_L1M1_PR_MR,158.47,23.97
VIA_L1M1_PR_MR_200,VIA_L1M1_PR_MR,159.85,23.97
VIA_L1M1_PR_MR_201,VIA_L1M1_PR_MR,163.99,23.97
VIA_L1M1_PR_MR_202,VIA_L1M1_PR_MR,176.87,23.97
VIA_L1M1_PR_MR_203,VIA_L1M1_PR_MR,186.07,23.97
VIA_L1M1_PR_MR_204,VIA_L1M1_PR_MR,77.97,24.990000000000002
VIA_L1M1_PR_MR_205,VIA_L1M1_PR_MR,80.73,24.990000000000002
VIA_L1M1_PR_MR_206,VIA_L1M1_PR_MR,82.57000000000001,24.990000000000002
VIA_L1M1_PR_MR_207,VIA_L1M1_PR_MR,155.71,24.990000000000002
VIA_L1M1_PR_MR_208,VIA_L1M1_PR_MR,164.45000000000002,24.990000000000002
VIA_L1M1_PR_MR_209,VIA_L1M1_PR_MR,153.41,25.330000000000002
VIA_L1M1_PR_MR_210,VIA_L1M1_PR_MR,165.37,25.67
VIA_L1M1_PR_MR_211,VIA_L1M1_PR_MR,169.51,25.67
VIA_L1M1_PR_MR_212,VIA_L1M1_PR_MR,173.19,25.67
VIA_L1M1_PR_MR_213,VIA_L1M1_PR_MR,178.25,25.67
VIA_L1M1_PR_MR_214,VIA_L1M1_PR_MR,79.35000000000001,26.01
VIA_L1M1_PR_MR_215,VIA_L1M1_PR_MR,85.33,26.01
VIA_L1M1_PR_MR_216,VIA_L1M1_PR_MR,151.11,26.01
VIA_L1M1_PR_MR_217,VIA_L1M1_PR_MR,151.57,26.01
VIA_L1M1_PR_MR_218,VIA_L1M1_PR_MR,152.49,26.01
VIA_L1M1_PR_MR_219,VIA_L1M1_PR_MR,153.87,26.01
VIA_L1M1_PR_MR_220,VIA_L1M1_PR_MR,154.79,26.01
VIA_L1M1_PR_MR_221,VIA_L1M1_PR_MR,155.25,26.01
VIA_L1M1_PR_MR_222,VIA_L1M1_PR_MR,156.17000000000002,26.01
VIA_L1M1_PR_MR_223,VIA_L1M1_PR_MR,158.01,26.01
VIA_L1M1_PR_MR_224,VIA_L1M1_PR_MR,159.39000000000001,26.01
VIA_L1M1_PR_MR_225,VIA_L1M1_PR_MR,160.77,26.01
VIA_L1M1_PR_MR_226,VIA_L1M1_PR_MR,161.23,26.01
VIA_L1M1_PR_MR_227,VIA_L1M1_PR_MR,163.99,26.01
VIA_L1M1_PR_MR_228,VIA_L1M1_PR_MR,164.45000000000002,26.01
VIA_L1M1_PR_MR_229,VIA_L1M1_PR_MR,166.29,26.01
VIA_L1M1_PR_MR_230,VIA_L1M1_PR_MR,180.55,26.01
